,Name,URL,Category,Attributes,Size,Volume,Loop count,Wedge count,Claw count,Cross count,Triangle count,Square count,4-Tour count,Maximum degree,Average degree,Fill,Size of LCC,Diameter,50-Percentile effective diameter,90-Percentile effective diameter,Median distance,Mean distance,Gini coefficient,Balanced inequality ratio,Relative edge distribution entropy,Power law exponent,Tail power law exponent,Tail power law exponent with p,p-value,Degree assortativity,Degree assortativity p-value,Clustering coefficient,Spectral norm,Algebraic connectivity,Spectral separation,Non-bipartivity,Normalized non-bipartivity,Algebraic non-bipartivity,Spectral bipartite frustration,Controllability,Relative controllability,Left size,Right size,Maximum left degree,Maximum right degree,Average left degree,Average right degree,Left balanced inequality ratio,Right balanced inequality ratio,Left tail power law exponent with p,Left p-value,Right tail power law exponent with p,Right p-value,Maximum outdegree,Maximum indegree,Size of LSCC,Relative size of LSCC,Outdegree balanced inequality ratio,Indegree balanced inequality ratio,In/outdegree correlation,Directed clustering coefficient,Operator 2-norm,Cyclic eigenvalue,Reciprocity,Negativity,Algebraic conflict,Triadic conflict,Spectral signed frustration,Outdegree tail power law exponent with p,Outdegree p-value,Indegree tail power law exponent with p,Indegree p-value,Unique edge count,Average edge multiplicity
mss,Wiktionary edits (ss),edit-sswiktionary/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",1540,4703,,329959,44574233,5271041510,,127193.0,2345436.0,1050,6.10779,0.00918053,1339,11.0,3.41773,5.6563,4.0,3.93398,0.732677,0.213906,0.792558,2.74189,2.361,2.361,0.0,-0.193659,7.30735e-25,,100.094,0.0319919,1.19028,,,,,1108.0,0.729908,231.0,1309.0,1050.0,145.0,20.3593,3.59282,0.108654,0.289815,1.791,0.78,8.281,0.677,,,,,,,,,,,,,,,,,,,,2776.0,1.69416
bet,Wikibooks edits (et),edit-etwikibooks/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",1447,4863,,148160,13646886,1088212032,,15443.0,721098.0,887,6.72149,0.0075106,1177,14.0,3.63896,6.85906,4.0,4.47461,0.785647,0.177874,0.806662,3.83671,2.341,2.341,0.0,-0.0690823,0.00272005,,338.982,0.0127104,2.53316,,,,,1058.0,0.732687,201.0,1246.0,887.0,235.0,24.194,3.90289,0.103023,0.249229,1.811,0.085,5.361,0.755,,,,,,,,,,,,,,,,,,,,1881.0,2.58533
beu,Wikibooks edits (eu),edit-euwikibooks/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",1197,4898,,49521,2301777,90383767,,1975.0,216584.0,1786,8.18379,0.00679222,956,13.0,4.46355,8.03749,5.0,5.40922,0.804072,0.167313,0.840057,4.74914,2.571,2.571,0.0,-0.177514,1.2716e-10,,293.729,0.0065556,2.26729,,,,,824.0,0.695946,189.0,1008.0,1786.0,176.0,25.9153,4.85913,0.105553,0.222131,1.811,0.752,2.971,0.0,,,,,,,,,,,,,,,,,,,,1294.0,3.78516
qku,Wikiquote edits (ku),edit-kuwikiquote/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",1333,4929,,175482,13182431,961834975,,136027.0,1799198.0,915,7.39535,0.0111942,1029,13.0,3.61838,5.85249,4.0,4.28284,0.777434,0.180361,0.818843,2.63913,1.961,1.961,0.0,-0.0263743,0.168234,,100.435,0.020533,1.08287,,,,,891.0,0.678599,219.0,1114.0,915.0,136.0,22.5068,4.4246,0.131264,0.233922,1.641,0.37,8.981,0.933,,,,,,,,,,,,,,,,,,,,2731.0,1.80483
bhy,Wikibooks edits (hy),edit-hywikibooks/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",1956,4927,,333359,59977339,9407216590,,28617.0,1569154.0,1760,5.03783,0.00573546,1611,11.0,3.39655,5.62383,4.0,3.90312,0.720995,0.22326,0.786729,4.32088,2.461,2.461,0.0,-0.184337,1.25625e-19,,210.003,0.0191353,,,,,,1487.0,0.769271,242.0,1714.0,1760.0,211.0,20.3595,2.87456,0.102091,0.318246,1.881,0.025,4.821,0.013,,,,,,,,,,,,,,,,,,,,2379.0,2.07104
miu,Wiktionary edits (iu),edit-iuwiktionary/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",1152,4910,,155979,8850183,424464789,,173931.0,2020536.0,780,8.52431,0.0137148,842,14.0,4.38002,7.61128,5.0,4.99225,0.7579,0.197556,0.810293,2.54855,1.921,1.921,0.0,0.216985,2.6387000000000002e-27,,105.088,0.0128947,1.13003,,,,,796.0,0.697023,183.0,969.0,780.0,44.0,26.8306,5.06708,0.105703,0.235642,1.691,0.207,8.471,0.234,,,,,,,,,,,,,,,,,,,,2432.0,2.01891
mln,Wiktionary edits (ln),edit-lnwiktionary/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",1449,4895,,448600,69974774,8902741461,,302872.0,4223444.0,1507,6.75638,0.0128544,1097,14.0,3.37429,7.22256,4.0,4.24124,0.733832,0.214096,0.774279,2.5667,3.051,3.051,0.0,-0.0671287,0.000312146,,136.716,0.00792718,1.74108,,,,,1087.0,0.762807,176.0,1273.0,1507.0,114.0,27.8125,3.84525,0.0986721,0.28907,1.721,0.276,3.681,0.002,,,,,,,,,,,,,,,,,,,,2880.0,1.69965
qlt,Wikiquote edits (lt),edit-ltwikiquote/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",6008,54892,,11113344,9365937713,7573078355969,,5393107.0,87655756.0,32623,18.273,0.00766747,5716,11.0,3.07982,3.91252,4.0,3.21655,0.844121,0.158211,0.751548,2.23301,2.351,2.351,0.0,-0.284364,0.0,,2029.99,0.0295198,6.61288,,,,,5197.0,0.8666,411.0,5597.0,32623.0,1268.0,133.557,9.8074,0.0574218,0.223621,1.521,0.236,8.571,0.504,,,,,,,,,,,,,,,,,,,,17638.0,3.11214
Shf,Hamsterster friendships,petster-friendships-hamster/,Online social network,"['Unipartite', 'undirected', 'Unweighted', 'no multiple edges']",1858,12534,0.0,555842,17140733,611850068,16750.0,780549.0,8492828.0,272,13.4919,0.00726544,1788,14.0,2.80448,3.96987,3.0,3.39424,0.610625,0.269507,0.907612,1.53824,2.461,2.461,0.0,-0.0846591,4.1772600000000006e-41,0.0904034,46.1623,0.0323107,1.88058,0.478324,0.0175867,0.0321356,,430.0,0.231432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qli,Wikiquote edits (li),edit-liwikisource/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",3437,6143,,2105255,954862506,342990013422,,134569.0,9519328.0,2412,3.57463,0.00658968,3224,11.0,3.18387,4.62711,4.0,3.41586,0.698938,0.21553,0.710347,5.73556,2.771,2.771,0.0,-0.289975,1.00841e-85,,101.346,0.0189421,1.48873,,,,,3105.0,0.906569,206.0,3231.0,2412.0,168.0,29.8204,1.90127,0.084812,0.343155,1.821,0.411,2.941,0.0,,,,,,,,,,,,,,,,,,,,4386.0,1.40059
EO,Erdős,pajek-erdos/,Co-authorship network,"['Unipartite', 'undirected', 'Unweighted', 'no multiple edges']",6927,11850,0.0,501868,34527952,3284183513,5973.0,70957.0,2598828.0,507,3.42139,0.000493993,6927,4.0,3.38204,3.87641,4.0,3.79137,0.646025,0.239916,0.859838,3.22763,2.161,2.161,0.0,-0.115577,2.7973599999999997e-71,0.0357046,30.3984,0.0247263,1.43062,0.301002,0.0124833,0.0245218,0.0017918,5979.0,0.863144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qeu,Wikiquote edits (eu),edit-euwikiquote/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",1380,5591,,161015,11478179,766536575,,66924.0,1187072.0,1627,8.1029,0.00945548,1113,11.0,3.45413,5.58882,4.0,4.00622,0.784428,0.182257,0.820699,2.77757,2.011,2.011,0.0,-0.131391,1.68775e-11,,184.23,0.0301877,3.42763,,,,,908.0,0.660844,242.0,1138.0,1627.0,184.0,23.1033,4.91301,0.117868,0.234842,1.701,0.23,6.761,0.239,,,,,,,,,,,,,,,,,,,,2604.0,2.14708
msu,Wiktionary edits (su),edit-suwiktionary/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",1499,5461,,266717,20750762,1342530381,,191730.0,2608842.0,807,7.28619,0.012957,1252,12.0,3.58743,5.71614,4.0,4.20557,0.748399,0.207013,0.799855,2.55537,2.241,2.241,0.004,-0.108646,1.39651e-09,,101.238,0.0313424,1.5594,,,,,1109.0,0.755965,181.0,1318.0,807.0,49.0,30.1713,4.1434,0.109504,0.285479,1.641,0.238,2.451,0.0,,,,,,,,,,,,,,,,,,,,3091.0,1.76674
qpa,Wikiquote edits (pa),edit-pawikisource/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",1113,5660,,634993,136046311,26063786611,,310509.0,5036244.0,1076,10.1707,0.0194252,1100,7.0,1.85301,3.49071,2.0,2.60787,0.659823,0.251767,0.773208,1.96303,1.721,1.721,0.778,-0.219835,1.0287599999999998e-35,,100.279,0.23603,1.04426,,,,,926.0,0.832734,172.0,941.0,1076.0,276.0,32.907,6.01488,0.10212,0.361484,1.551,0.736,7.881,0.0,,,,,,,,,,,,,,,,,,,,3144.0,1.80025
qis,Wikiquote edits (is),edit-iswikisource/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",7109,12118,,9378345,8344924827,5863079122809,,934770.0,45019310.0,3500,3.4092,0.00609117,6864,12.0,3.25634,5.18313,4.0,3.52512,0.670063,0.248185,0.686533,5.59709,2.741,2.741,0.0,-0.290135,4.6011400000000004e-173,,128.642,0.0208977,1.2175,,,,,6684.0,0.944335,213.0,6896.0,3500.0,275.0,56.892,1.75725,0.0642845,0.359795,1.751,0.107,3.731,0.983,,,,,,,,,,,,,,,,,,,,8947.0,1.35442
qla,Wikiquote edits (la),edit-lawikisource/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",24998,72730,,24152873,20224509780,15954757230909,,2545757.0,117079182.0,11158,5.81887,0.00161895,24257,12.0,3.82914,5.78698,4.0,4.66524,0.749558,0.205747,0.768499,3.78448,2.901,2.901,0.0,-0.0856567,4.6599e-64,,360.861,0.0141757,1.60487,,,,,22934.0,0.924795,998.0,24000.0,11158.0,941.0,72.8758,3.03042,0.0852743,0.301774,1.601,0.7,4.311,0.255,,,,,,,,,,,,,,,,,,,,38777.0,1.8756
bms,Wikibooks edits (ms),edit-mswikibooks/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",2102,5593,,566847,151699990,34482133099,,37610.0,2574142.0,1744,5.3216,0.00687084,1890,11.0,3.21236,5.13296,4.0,3.5385,0.729691,0.217325,0.779297,3.6047,2.951,2.951,0.0,-0.130732,1.89773e-12,,120.737,0.0234442,1.19922,,,,,1649.0,0.794699,223.0,1879.0,1744.0,210.0,25.0807,2.97658,0.114429,0.302879,1.731,0.467,5.651,0.0,,,,,,,,,,,,,,,,,,,,2879.0,1.94269
PHf,Hamsterster friends,petster-hamster-friend/,Online social network,"['Unipartite', 'undirected', 'Unweighted', 'no multiple edges']",2952,12534,0.0,555842,17140733,611850068,16750.0,780549.0,8492828.0,272,8.49187,0.00726544,1788,14.0,2.82403,4.15134,3.0,3.42114,0.610625,0.269507,0.907612,1.53824,2.461,2.461,0.0,-0.0846591,4.1772600000000006e-41,0.0904034,46.1623,0.0323107,1.88058,0.478324,0.0175867,0.0321356,0.00057569,425.0,0.228741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
btl,Wikibooks edits (tl),edit-tlwikibooks/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",2341,5767,,320325,45869085,6262846249,,27487.0,1509644.0,1125,4.92695,0.00523565,1951,14.0,3.74012,5.91883,4.0,4.46741,0.737002,0.208167,0.809101,3.4329,2.511,2.511,0.0,-0.268462,2.4136500000000002e-54,,127.356,0.0245688,1.41424,,,,,1628.0,0.746789,302.0,2039.0,1125.0,184.0,19.096,2.82835,0.119993,0.293567,1.751,0.753,2.961,0.061,,,,,,,,,,,,,,,,,,,,3224.0,1.78877
AS,Autonomous systems (DIMACS10),dimacs10-as-22july06/,Computer network,"['Unipartite', 'undirected', 'Unweighted', 'no multiple edges']",22963,48436,0.0,12615661,6012695865,2783793490302,46873.0,3089604.0,75276348.0,2390,4.21861,0.000183721,22963,11.0,3.21561,4.46821,4.0,3.73856,0.631878,0.265133,0.836172,2.43517,2.091,2.091,0.647,-0.198385,0.0,0.0111464,71.613,0.0506994,1.31057,0.236971,0.0367054,0.0718609,0.00425856,16374.0,0.71306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qsah,Wikiquote edits (sah),edit-sahwikisource/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",1832,5882,,537345,110555894,18338870281,,116105.0,3091038.0,2202,6.4214,0.00557282,1559,13.0,2.74008,4.42015,3.0,3.27163,0.758282,0.205627,0.759844,3.33769,1.951,1.951,0.186,-0.337879,4.11355e-72,,165.061,0.0137602,1.59538,,,,,1416.0,0.803632,315.0,1517.0,2202.0,188.0,18.673,3.87739,0.105406,0.288507,2.101,0.007,4.541,0.0,,,,,,,,,,,,,,,,,,,,2663.0,2.20879
ady,Wikipedia edits (ady),edit-adywiki/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",1254,6003,,515670,79797409,11228797952,,337370.0,4776850.0,676,9.57416,0.0181727,1190,8.0,2.43422,3.89218,3.0,3.04681,0.694123,0.239963,0.81204,1.91396,2.701,2.701,0.0,-0.174358,1.83463e-28,,68.6787,0.312324,,,,,,857.0,0.696182,209.0,1045.0,676.0,111.0,28.7225,5.7445,0.124771,0.321839,1.621,0.221,3.901,0.067,,,,,,,,,,,,,,,,,,,,3969.0,1.51247
atj,Wikipedia edits (atj),edit-atjwiki/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",655,6306,,459277,58368889,6181474537,,772689.0,8030876.0,1839,19.255,0.0687927,632,6.0,1.67876,2.9129,2.0,2.33884,0.679733,0.250951,0.80939,1.65041,2.551,2.551,0.0,-0.292854,1.3322599999999999e-65,,184.526,0.426775,2.98076,,,,,491.0,0.751914,83.0,572.0,1839.0,225.0,75.9759,11.0245,0.148906,0.341262,1.731,0.516,8.331,0.017,,,,,,,,,,,,,,,,,,,,3266.0,1.9308
bhi,Wikibooks edits (hi),edit-hiwikibooks/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",3189,5850,,609852,145629247,30593373586,,11933.0,2541640.0,1080,3.66886,0.00380276,2713,15.0,3.61713,5.91612,4.0,4.39583,0.69466,0.232991,0.774176,6.82572,2.961,2.961,0.0,-0.239062,6.27324e-44,,184.03,0.00976009,1.04602,,,,,2469.0,0.815121,299.0,2890.0,1080.0,176.0,19.5652,2.02422,0.103077,0.324103,1.911,0.09,3.331,0.0,,,,,,,,,,,,,,,,,,,,3286.0,1.78028
bsi,Wikibooks edits (si),edit-siwikibooks/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",3427,5850,,1039610,368713927,105725355173,,5599.0,4209872.0,1922,3.41406,0.00468008,2666,13.0,3.48121,5.70472,4.0,4.01898,0.704927,0.21906,0.746968,7.38944,3.051,3.051,0.001,-0.27701,5.38555e-59,,108.246,0.0105003,1.28275,,,,,2591.0,0.858231,219.0,3208.0,1922.0,100.0,26.7123,1.82357,0.106154,0.323077,1.771,0.557,3.471,0.0,,,,,,,,,,,,,,,,,,,,3288.0,1.7792
mom,Wiktionary edits (om),edit-omwiktionary/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",1124,6205,,242982,19042409,1294430294,,368342.0,3924700.0,1318,11.0409,0.0170864,819,14.0,4.42373,7.64708,5.0,4.84924,0.757696,0.209347,0.803865,2.2748,1.811,1.811,0.0,0.28306,6.56474e-54,,134.889,0.00399642,1.36703,,,,,759.0,0.688123,177.0,947.0,1318.0,56.0,35.0565,6.55227,0.0997583,0.242063,1.651,0.644,8.991,0.069,,,,,,,,,,,,,,,,,,,,2864.0,2.16655
mqu,Wiktionary edits (qu),edit-quwiktionary/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",1689,6491,,391396,40526033,3770614368,,314130.0,4086320.0,918,7.6862,0.012709,1443,14.0,3.75869,7.68957,4.0,4.85803,0.771466,0.186258,0.787337,2.66764,1.971,1.971,0.0,-0.114878,2.6465399999999997e-12,,107.211,0.00727233,1.27036,,,,,1310.0,0.780691,194.0,1495.0,918.0,74.0,33.4588,4.34181,0.106763,0.253428,1.661,0.014,2.031,0.0,,,,,,,,,,,,,,,,,,,,3686.0,1.76099
ks,Wikipedia edits (ks),edit-kswiki/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",2134,6470,,114297,4167577,147506856,,76196.0,1074574.0,299,6.06373,0.00382335,1540,15.0,4.22155,6.8956,5.0,4.95738,0.743593,0.19745,0.852522,3.12629,2.131,,,-0.212686,4.7889299999999994e-36,,102.594,0.0180751,1.17295,,,,,1058.0,0.502374,567.0,1567.0,299.0,235.0,11.4109,4.12891,0.156414,0.236321,,,,,,,,,,,,,,,,,,,,,,,,3397.0,1.90462
mrw,Wiktionary edits (rw),edit-rwwiktionary/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",1321,6776,,274827,19620161,1233074874,,456519.0,4758304.0,1019,10.2589,0.0162952,990,18.0,4.06052,8.05496,5.0,5.15273,0.775089,0.189787,0.794703,2.45336,1.881,1.881,0.0,0.241431,1.47105e-44,,125.151,0.00379735,1.47241,,,,,961.0,0.738663,175.0,1146.0,1019.0,66.0,38.72,5.91274,0.102568,0.234504,1.661,0.01,1.931,0.0,,,,,,,,,,,,,,,,,,,,3268.0,2.07344
DN,DNC co-recipients,dnc-corecipient/,Online contact network,"['Unipartite', 'undirected', 'Unweighted', 'multiple edges']",2029,136602,0.0,955910,86121142,5511669921,174677.0,10408369.0,87111450.0,462,134.65,0.0294781,849,8.0,2.20417,3.30608,3.0,2.71372,0.889309,0.109475,0.84208,1.58317,1.451,1.451,0.0,-0.124892,2.7965e-73,0.548201,3522.12,0.21177,3.86782,0.755203,0.274849,0.368608,0.0037672,283.0,0.312362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12085.0,11.3034
mgn,Wiktionary edits (gn),edit-gnwiktionary/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",2678,6691,,1607259,852101253,362195123896,,151208.0,7646978.0,2922,4.99701,0.00773337,2342,17.0,1.89521,5.97287,2.0,3.63665,0.713634,0.224256,0.737605,4.30299,2.461,2.461,0.0,-0.40005,5.887819999999999e-150,,107.863,0.00762329,1.30381,,,,,2280.0,0.854573,204.0,2474.0,2922.0,171.0,32.799,2.70453,0.0998356,0.330294,1.721,0.051,2.621,0.0,,,,,,,,,,,,,,,,,,,,3903.0,1.71432
mkw,Wiktionary edits (kw),edit-kwwiktionary/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",1245,6895,,476069,63124236,7080329549,,631527.0,6965404.0,1439,11.0763,0.0170987,1027,13.0,3.71373,7.08536,4.0,4.43721,0.731908,0.227556,0.782975,2.17153,3.191,3.191,0.0,0.223264,2.5937599999999997e-39,,137.238,0.0110376,1.50991,,,,,888.0,0.714976,186.0,1059.0,1439.0,120.0,37.0699,6.51086,0.0839739,0.288035,1.711,0.104,7.331,0.04,,,,,,,,,,,,,,,,,,,,3368.0,2.04721
Sh,Hamsterster full,petster-hamster/,Online social network,"['Unipartite', 'undirected', 'Unweighted', 'no multiple edges']",2426,16631,0.0,690463,19926742,676944899,53265.0,1234177.0,12668530.0,273,13.7106,0.00565387,2000,10.0,3.01327,4.79716,4.0,3.66846,0.589364,0.276291,0.917954,1.51829,2.421,2.421,0.0,0.0474039,5.14983e-18,0.231432,50.0215,0.102938,1.60894,0.602303,0.129659,0.193235,0.00300091,63.0,0.0259687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bbg,Wikibooks edits (bg),edit-bgwikibooks/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",2271,6788,,123584,7875467,441460987,,30742.0,747022.0,1450,5.97798,0.00354482,1807,14.0,5.09341,7.53765,6.0,5.45979,0.756153,0.197702,0.847496,3.94856,2.371,2.371,0.0,-0.172706,6.2476e-19,,515.619,0.00435616,3.94594,,,,,1464.0,0.678406,392.0,1879.0,1450.0,461.0,17.3163,3.61256,0.129051,0.266794,1.851,0.531,4.011,0.0,,,,,,,,,,,,,,,,,,,,2611.0,2.59977
ME,Adolescent health,moreno_health/,Human social network,"['Unipartite', 'directed', 'Positive weights', 'no multiple edges']",2539,12969,0.0,99247,740457,2920116,4694.0,17977.0,561714.0,36,10.2158,0.00201258,2539,10.0,4.06473,5.30482,5.0,4.51647,0.299855,0.389699,0.981136,1.51412,8.251,8.251,0.43,0.251286,1.6056399999999999e-298,0.141888,59.1679,0.510714,1.03089,0.548498,0.216902,0.319993,0.0097138,299.0,0.117763,,,,,,,,,,,,,10.0,27.0,2155.0,0.848759,0.407819,0.361786,0.260294,0.149544,31.946,27.5842,0.387694,,,,,8.381,0.0,7.081,0.448,,
mo,Wikipedia edits (mo),edit-mowiki/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",1643,7181,,209463,16828614,1258962857,,36878.0,1141354.0,1068,8.74133,0.012256,1414,10.0,3.39366,4.8526,4.0,3.80374,0.785543,0.1779,0.825489,2.4338,2.321,2.321,0.03,-0.255399,3.40847e-46,,162.235,0.0718197,1.31994,,,,,1144.0,0.780355,167.0,1476.0,1068.0,303.0,43.0,4.86518,0.17797,0.253725,1.851,0.778,2.711,0.004,,,,,,,,,,,,,,,,,,,,3021.0,2.37703
mna,Wiktionary edits (na),edit-nawiktionary/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",1717,7094,,483061,74498276,9814188497,,245993.0,3907176.0,2642,8.26325,0.0116435,1353,13.0,3.11719,5.78308,4.0,3.71405,0.744391,0.213772,0.783066,2.57193,2.871,2.871,0.0,-0.0391183,0.0246285,,172.125,0.0141006,2.13472,,,,,1300.0,0.785973,185.0,1532.0,2642.0,130.0,38.3459,4.63055,0.0958557,0.281083,1.661,0.394,4.571,0.63,,,,,,,,,,,,,,,,,,,,3300.0,2.1497
kbp,Wikipedia edits (kbp),edit-kbpwiki/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",1587,7350,,2150867,776058374,233561497749,,1552566.0,21034682.0,1853,9.26276,0.064543,1568,6.0,1.54395,1.98376,2.0,2.1369,0.673005,0.249116,0.739946,1.85397,3.931,3.931,0.0,-0.226496,4.01596e-63,,106.964,0.382192,1.65396,,,,,1484.0,0.935687,54.0,1533.0,1853.0,41.0,136.111,4.79452,0.124218,0.363401,1.401,0.06,6.651,0.17,,,,,,,,,,,,,,,,,,,,5343.0,1.37563
bne,Wikibooks edits (ne),edit-newikibooks/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",2504,7105,,310310,45854693,6205189834,,6542.0,1299708.0,1697,5.67492,0.00279007,2288,12.0,3.62286,5.67573,4.0,4.24996,0.777931,0.18487,0.807067,4.78901,2.571,2.571,0.004,-0.297889,6.740090000000001e-63,,238.732,0.0165864,1.20204,,,,,1984.0,0.80194,555.0,1949.0,1697.0,915.0,12.8018,3.64546,0.153413,0.228431,2.041,0.67,2.881,0.106,,,,,,,,,,,,,,,,,,,,3018.0,2.35421
qet,Wikiquote edits (et),edit-etwikisource/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",20902,37403,,153341286,606196798396,1922372201202177,,25304229.0,815888542.0,14395,3.57889,0.00577753,20575,13.0,1.79685,3.77627,2.0,2.78974,0.629944,0.279242,0.652436,3.52559,5.801,5.801,0.0,-0.229507,0.0,,277.982,0.0150245,1.72213,,,,,20366.0,0.976038,274.0,20628.0,14395.0,187.0,136.507,1.81322,0.0478839,0.407962,1.511,0.804,6.511,0.005,,,,,,,,,,,,,,,,,,,,32655.0,1.1454
mzu,Wiktionary edits (zu),edit-zuwiktionary/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",1624,7532,,566744,73191615,8209828076,,536179.0,6565066.0,1898,9.27586,0.0138364,1297,14.0,3.42897,5.86369,4.0,4.04821,0.744127,0.214485,0.787024,2.29085,1.811,1.811,0.0,0.0973741,2.8845900000000005e-10,,143.618,0.0169408,2.11506,,,,,1200.0,0.741656,214.0,1410.0,1898.0,45.0,35.1963,5.34184,0.086564,0.268322,1.681,0.144,8.991,0.687,,,,,,,,,,,,,,,,,,,,4175.0,1.80407
may,Wiktionary edits (ay),edit-aywiktionary/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",1958,7456,,1373450,376953166,83399554771,,1274170.0,15696950.0,1903,7.61593,0.0124098,1597,15.0,2.00449,6.07589,3.0,3.70284,0.680253,0.254024,0.75752,2.23012,3.911,3.911,0.0,0.115918,1.1492300000000001e-15,,134.761,0.0118475,1.95916,,,,,1518.0,0.779261,220.0,1738.0,1903.0,56.0,33.8909,4.28999,0.088117,0.342006,1.731,0.09,6.661,0.203,,,,,,,,,,,,,,,,,,,,4745.0,1.57134
qbs,Wikiquote edits (bs),edit-bswikiquote/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",8557,48896,,24076984,26689489091,24554241065673,,14815727.0,214900154.0,13877,11.4283,0.00582476,8024,13.0,2.84093,3.933,3.0,3.16565,0.797294,0.185649,0.732888,2.2778,2.091,2.091,0.0,-0.325369,0.0,,680.137,0.0192571,1.4882,,,,,7329.0,0.884184,505.0,8052.0,13877.0,354.0,96.8238,6.07253,0.0542989,0.263232,1.671,0.02,7.421,0.15,,,,,,,,,,,,,,,,,,,,23685.0,2.06443
nsq,Wikinews edits (sq),edit-sqwikinews/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",2511,7745,,1808578,617618660,169131895143,,511837.0,11350268.0,2152,6.16886,0.0107875,2279,12.0,2.33581,5.91607,3.0,3.58425,0.707878,0.231698,0.741017,2.53924,3.521,3.521,0.0,-0.247888,1.05545e-70,,147.021,0.00937987,1.45623,,,,,2134.0,0.851556,200.0,2311.0,2152.0,128.0,38.725,3.35136,0.0836669,0.339961,1.741,0.214,5.691,0.08,,,,,,,,,,,,,,,,,,,,4986.0,1.55335
bsr,Wikibooks edits (sr),edit-srwikibooks/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",3308,7700,,393188,58702246,7760363357,,16507.0,1712638.0,1212,4.65538,0.00370108,2914,15.0,5.32327,7.76276,6.0,5.70348,0.703824,0.227922,0.810743,5.30335,2.681,2.681,0.0,-0.181894,1.68876e-28,,157.817,0.0133862,1.67667,,,,,2582.0,0.805868,331.0,2977.0,1212.0,174.0,23.2628,2.5865,0.143377,0.328312,1.861,0.005,4.421,0.011,,,,,,,,,,,,,,,,,,,,3647.0,2.11132
Mg,Blogs,moreno_blogs/,Hyperlink network,"['Unipartite', 'directed', 'Unweighted', 'no multiple edges']",1224,19025,3.0,1341525,106210646,6795494042,101043.0,5171257.0,46769586.0,467,31.0866,0.0126988,1222,8.0,2.21491,3.28937,3.0,2.72223,0.633107,0.254744,0.898242,1.41489,2.381,2.381,0.0,-0.221233,0.0,0.225959,90.7402,0.17092,1.24567,0.634253,0.281318,0.37544,0.00343054,446.0,0.364379,,,,,,,,,,,,,256.0,337.0,793.0,0.647876,0.276005,0.21887,0.436307,0.276091,56.1928,34.4233,0.242681,,,,,3.121,0.0,2.981,0.062,,
